用戶行為,區塊,子系統,用戶執行動作,計算條件,事件名稱（中文）,事件名稱（英文）,參數群組,參數,參數事件名稱,觸發點(按鍵/區塊),備註,iOS,Android
點擊首頁按鈕,首頁,側邊欄,點擊首頁側邊欄,用戶點擊按鈕算一次,首頁_側邊欄_顯示,Home_NavigationBar_show,,,,點擊首頁側邊欄,,TRUE,FALSE
,,社團,點擊首頁社團（未加入任何社團）,,首頁.預設未加入社團_社團_點擊,Home.NotJoinGroup_Group_clicked,,,,點擊首頁社團（未加入任何社團）,,FALSE,FALSE
,,社團,觀看任一社團主頁面,,首頁_觀看,Home_viewed,,,,觀看任一社團主頁面,,TRUE,TRUE
點擊側邊欄按鈕,側邊欄,社團,點擊側邊欄按鈕,,側邊欄_社團_點擊,NavigationBar_Group_clicked,,,,點擊側邊欄按鈕,,FALSE,FALSE
,,通知,,,側邊欄_通知_點擊,NavigationBar_Notification_clicked,,,,,,FALSE,FALSE
,,探索社團,,,側邊欄_探索社團_點擊,NavigationBar_ExploreGroup_clicked,,,,,,FALSE,FALSE
,,會員頁,,,側邊欄_會員頁_點擊,NavigationBar_MemberPage_clicked,,,,,,FALSE,FALSE
點擊會員中心的按鈕,會員頁,信箱登入,點擊會員頁、會員頁子頁面按鈕,,會員頁_信箱登入_點擊,MemberPage_EmailLogin_clicked,,,,點擊會員頁、會員頁子頁面按鈕,,FALSE,FALSE
,,社群帳號登入,,,會員頁_社群帳號登入_點擊,MemberPage_SocialAccountLogin_clicked,,,,,,FALSE,FALSE
,,,,,會員頁_首頁_點擊,MemberPage_Home_clicked,,,,,,FALSE,FALSE
,,頭像與暱稱,,,會員頁_頭像與暱稱_點擊,MemberPage_AvatarAndNickname_clicked,,,,,,FALSE,FALSE
,,,,,頭像與暱稱_頭像_點擊,AvatarAndNickname_Avatar_clicked,,,,,,FALSE,FALSE
,,,,,頭像與暱稱_暱稱_點擊,AvatarAndNickname_Nickname_clicked,,,,,,FALSE,FALSE
