0,區塊,子系統,用戶執行動作,計算條件,事件名稱（中文）,事件名稱（英文）,參數群組,參數,參數名稱（英文）,參數事件名稱,觸發點(按鍵/區塊),備註,iOS,Android
點擊首頁按鈕,首頁,側邊欄,點擊首頁側邊欄,用戶點擊按鈕算一次,首頁_側邊欄_顯示,Home_NavigationBar_show,,,,,點擊首頁側邊欄,,TRUE,FALSE
,,社團,點擊首頁社團（未加入任何社團）,,首頁.預設未加入社團_社團_點擊,Home.NotJoinGroup_Group_clicked,,,,,點擊首頁社團（未加入任何社團）,,TRUE,FALSE
,,社團,觀看任一社團主頁面,頁面出現算一次,首頁_觀看,Home_viewed,,,,,觀看任一社團主頁面,,FALSE,TRUE
建立社團流程,建立社團流程,建立社團流程,輸入社團名稱,頁面出現算一次,建立社團.社團名稱_觀看,CreateGroup.GroupName_viewed,,,,,,,TRUE,TRUE
,,,設定社團公開度,,建立社團.社團權限_觀看,CreateGroup.GroupOpenness_viewed,,,,,,,TRUE,TRUE
,,,新增審核題目,,建立社團.權限.新增審核題目_觀看,CreateGroup.GroupOpenness.AddReviewQuestion_viewed,,,,,,,TRUE,TRUE
,,,設定社團佈置,,建立社團.佈置_觀看,CreateGroup.GroupArrangement_viewed,,,,,,,TRUE,TRUE
,,,,,建立社團.佈置.社團圖示_觀看,CreateGroup.GroupArrangement.GroupIcon_viewed,,,,,,,TRUE,TRUE
,,,,,建立社團.佈置.首頁背景_觀看,CreateGroup.GroupArrangement.HomeBackground_viewed,,,,,,,TRUE,TRUE
,,,,,建立社團.佈置.主題色彩_觀看,CreateGroup.GroupArrangement.ThemeColor_viewed,,,,,,,TRUE,TRUE
,,,建立社團,用戶點擊按鍵算一次,建立社團_點擊,CreateGroup_clicked,from,尚未加入任何社團的畫面,NonGroup,,,,TRUE,TRUE
,,,,,,,,熱門社團,Hot,,,,TRUE,TRUE
,,,,,,,,最新社團,New,,,,TRUE,TRUE
,,,點擊社團名稱輸入框,,建立社團_社團名稱_點擊,CreateGroup_Name_clicked,,,,,,,TRUE,TRUE
,,,點擊社團公開度選項,,建立社團_權限_點擊,CreateGroup_Openness_clicked,from,點擊『完全公開』,Public,,,,TRUE,FALSE
